drg_desc,old_provider_id,provider_name,street,city_name,state_name,zip,referral_region_desc,total_discharges,avg_cov_charges,avg_total_payment,avg_med_payment,city_state_name
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,AL - Dothan,91,32963.07,5777.24,4763.73,DOTHAN-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,AL - Birmingham,14,15131.85,5787.57,4976.71,BOAZ-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,35631,AL - Birmingham,24,37560.37,5434.95,4453.79,FLORENCE-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,35235,AL - Birmingham,25,13998.28,5417.56,4129.16,BIRMINGHAM-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,35007,AL - Birmingham,18,31633.27,5658.33,4851.44,ALABASTER-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,AL - Montgomery,67,16920.79,6653.8,5374.14,MONTGOMERY-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,AL - Birmingham,51,11977.13,5834.74,4761.41,OPELIKA-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,AL - Birmingham,32,35841.09,8031.12,5858.5,BIRMINGHAM-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,AL - Huntsville,135,28523.39,6113.38,5228.4,HUNTSVILLE-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,AL - Birmingham,34,75233.38,5541.05,4386.94,GADSDEN-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,AL - Birmingham,14,67327.92,5461.57,4493.57,GADSDEN-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,AL - Dothan,45,39607.28,5356.28,4408.2,DOTHAN-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,AL - Birmingham,43,22862.23,5374.65,4186.02,BIRMINGHAM-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,AL - Birmingham,21,31110.85,5366.23,4376.23,ANNISTON-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,AL - Mobile,15,25411.33,5282.93,4383.73,FOLEY-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10085,DECATUR GENERAL HOSPITAL,1201 7TH STREET SE,DECATUR,AL,35609,AL - Huntsville,27,9234.51,5676.55,4509.11,DECATUR-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,AL - Mobile,27,15895.85,5930.11,3972.85,MOBILE-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,AL - Tuscaloosa,31,19721.16,6192.54,5179.38,TUSCALOOSA-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,AL - Mobile,18,10710.88,4968.0,3898.88,FAIRHOPE-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10103,BAPTIST MEDICAL CENTER-PRINCETON,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,AL - Birmingham,33,51343.75,5996.0,4962.45,BIRMINGHAM-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10104,TRINITY MEDICAL CENTER,800 MONTCLAIR RD,BIRMINGHAM,AL,35213,AL - Birmingham,29,55219.31,5710.31,4471.68,BIRMINGHAM-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10113,MOBILE INFIRMARY,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,AL - Mobile,66,14948.15,5550.9,4219.9,MOBILE-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,10139,BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,AL - Birmingham,19,73846.21,4987.26,3944.42,BIRMINGHAM-AL
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,AK - Anchorage,23,34805.13,8401.95,6413.78,ANCHORAGE-AK
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30002,BANNER GOOD SAMARITAN MEDICAL CENTER,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,AZ - Phoenix,11,34803.81,7768.9,6951.45,PHOENIX-AZ
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,AZ - Tucson,40,24474.75,6799.85,5764.87,TUCSON-AZ
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326,AZ - Phoenix,18,28571.61,9133.0,8008.11,COTTONWOOD-AZ
